,label,yes_vote,no_vote,argouml,apache-jmeter-2.10,jfreechart-1.0.19,sql12,jruby-1.4.0,hibernate-distribution-3.3.2.GA,columba-1.4-src,code_ensemble
113,no,0,7,no,no,no,no,no,no,no,no
114,no,0,7,no,no,no,no,no,no,no,no
115,no,0,7,no,no,no,no,no,no,no,no
116,no,0,7,no,no,no,no,no,no,no,no
117,no,0,7,no,no,no,no,no,no,no,no
118,no,0,7,no,no,no,no,no,no,no,no
119,no,0,7,no,no,no,no,no,no,no,no
120,no,1,6,yes,no,no,no,no,no,no,no
121,no,1,6,no,no,yes,no,no,no,no,no
122,no,0,7,no,no,no,no,no,no,no,no
123,no,0,7,no,no,no,no,no,no,no,no
124,yes,1,6,no,no,no,no,no,yes,no,no
125,no,0,7,no,no,no,no,no,no,no,no
126,no,0,7,no,no,no,no,no,no,no,no
127,no,0,7,no,no,no,no,no,no,no,no
128,no,0,7,no,no,no,no,no,no,no,no
129,yes,4,3,no,no,yes,no,yes,yes,yes,yes
130,no,0,7,no,no,no,no,no,no,no,no
131,no,0,7,no,no,no,no,no,no,no,no
132,no,0,7,no,no,no,no,no,no,no,no
133,no,0,7,no,no,no,no,no,no,no,no
134,no,0,7,no,no,no,no,no,no,no,no
135,no,0,7,no,no,no,no,no,no,no,no
136,no,0,7,no,no,no,no,no,no,no,no
137,no,0,7,no,no,no,no,no,no,no,no
138,no,0,7,no,no,no,no,no,no,no,no
139,no,0,7,no,no,no,no,no,no,no,no
140,no,0,7,no,no,no,no,no,no,no,no
141,no,1,6,no,no,no,yes,no,no,no,no
142,no,0,7,no,no,no,no,no,no,no,no
143,no,0,7,no,no,no,no,no,no,no,no
144,no,0,7,no,no,no,no,no,no,no,no
145,no,0,7,no,no,no,no,no,no,no,no
146,no,0,7,no,no,no,no,no,no,no,no
147,no,0,7,no,no,no,no,no,no,no,no
148,no,0,7,no,no,no,no,no,no,no,no
149,no,0,7,no,no,no,no,no,no,no,no
150,no,0,7,no,no,no,no,no,no,no,no
151,no,0,7,no,no,no,no,no,no,no,no
152,no,0,7,no,no,no,no,no,no,no,no
153,no,0,7,no,no,no,no,no,no,no,no
154,no,0,7,no,no,no,no,no,no,no,no
155,no,0,7,no,no,no,no,no,no,no,no
156,no,0,7,no,no,no,no,no,no,no,no
157,no,0,7,no,no,no,no,no,no,no,no
158,no,0,7,no,no,no,no,no,no,no,no
159,no,0,7,no,no,no,no,no,no,no,no
160,no,0,7,no,no,no,no,no,no,no,no
161,no,0,7,no,no,no,no,no,no,no,no
162,no,0,7,no,no,no,no,no,no,no,no
163,no,0,7,no,no,no,no,no,no,no,no
164,no,0,7,no,no,no,no,no,no,no,no
165,no,0,7,no,no,no,no,no,no,no,no
166,no,0,7,no,no,no,no,no,no,no,no
167,no,0,7,no,no,no,no,no,no,no,no
168,no,0,7,no,no,no,no,no,no,no,no
169,no,0,7,no,no,no,no,no,no,no,no
170,no,0,7,no,no,no,no,no,no,no,no
171,no,0,7,no,no,no,no,no,no,no,no
172,no,0,7,no,no,no,no,no,no,no,no
173,no,0,7,no,no,no,no,no,no,no,no
174,no,0,7,no,no,no,no,no,no,no,no
175,no,0,7,no,no,no,no,no,no,no,no
176,no,0,7,no,no,no,no,no,no,no,no
177,no,0,7,no,no,no,no,no,no,no,no
178,no,0,7,no,no,no,no,no,no,no,no
179,no,0,7,no,no,no,no,no,no,no,no
180,no,0,7,no,no,no,no,no,no,no,no
181,no,0,7,no,no,no,no,no,no,no,no
182,no,0,7,no,no,no,no,no,no,no,no
183,no,1,6,no,no,no,yes,no,no,no,no
184,no,0,7,no,no,no,no,no,no,no,no
185,no,0,7,no,no,no,no,no,no,no,no
186,no,0,7,no,no,no,no,no,no,no,no
187,no,0,7,no,no,no,no,no,no,no,no
188,no,0,7,no,no,no,no,no,no,no,no
189,no,0,7,no,no,no,no,no,no,no,no
190,no,0,7,no,no,no,no,no,no,no,no
191,no,0,7,no,no,no,no,no,no,no,no
192,no,0,7,no,no,no,no,no,no,no,no
193,no,0,7,no,no,no,no,no,no,no,no
194,no,0,7,no,no,no,no,no,no,no,no
195,no,0,7,no,no,no,no,no,no,no,no
196,no,0,7,no,no,no,no,no,no,no,no
197,no,0,7,no,no,no,no,no,no,no,no
198,no,0,7,no,no,no,no,no,no,no,no
199,no,0,7,no,no,no,no,no,no,no,no
200,no,0,7,no,no,no,no,no,no,no,no
201,yes,0,7,no,no,no,no,no,no,no,no
202,no,0,7,no,no,no,no,no,no,no,no
203,no,0,7,no,no,no,no,no,no,no,no
204,no,0,7,no,no,no,no,no,no,no,no
205,no,0,7,no,no,no,no,no,no,no,no
206,no,0,7,no,no,no,no,no,no,no,no
207,yes,0,7,no,no,no,no,no,no,no,no
208,no,0,7,no,no,no,no,no,no,no,no
209,no,0,7,no,no,no,no,no,no,no,no
210,no,0,7,no,no,no,no,no,no,no,no
211,no,0,7,no,no,no,no,no,no,no,no
212,no,0,7,no,no,no,no,no,no,no,no
213,no,0,7,no,no,no,no,no,no,no,no
214,no,0,7,no,no,no,no,no,no,no,no
215,no,0,7,no,no,no,no,no,no,no,no
216,yes,0,7,no,no,no,no,no,no,no,no
217,no,0,7,no,no,no,no,no,no,no,no
218,yes,0,7,no,no,no,no,no,no,no,no
219,no,0,7,no,no,no,no,no,no,no,no
220,no,0,7,no,no,no,no,no,no,no,no
221,no,0,7,no,no,no,no,no,no,no,no
222,no,0,7,no,no,no,no,no,no,no,no
223,no,0,7,no,no,no,no,no,no,no,no
224,no,0,7,no,no,no,no,no,no,no,no
225,no,0,7,no,no,no,no,no,no,no,no
226,no,0,7,no,no,no,no,no,no,no,no
227,no,0,7,no,no,no,no,no,no,no,no
228,no,0,7,no,no,no,no,no,no,no,no
229,no,0,7,no,no,no,no,no,no,no,no
230,no,0,7,no,no,no,no,no,no,no,no
231,no,0,7,no,no,no,no,no,no,no,no
232,no,1,6,no,no,no,no,no,no,yes,no
233,no,0,7,no,no,no,no,no,no,no,no
234,no,0,7,no,no,no,no,no,no,no,no
235,no,0,7,no,no,no,no,no,no,no,no
236,no,0,7,no,no,no,no,no,no,no,no
237,no,0,7,no,no,no,no,no,no,no,no
238,no,0,7,no,no,no,no,no,no,no,no
239,no,0,7,no,no,no,no,no,no,no,no
240,no,0,7,no,no,no,no,no,no,no,no
241,no,0,7,no,no,no,no,no,no,no,no
242,no,0,7,no,no,no,no,no,no,no,no
243,no,0,7,no,no,no,no,no,no,no,no
244,no,0,7,no,no,no,no,no,no,no,no
245,no,0,7,no,no,no,no,no,no,no,no
246,no,0,7,no,no,no,no,no,no,no,no
247,no,0,7,no,no,no,no,no,no,no,no
248,no,0,7,no,no,no,no,no,no,no,no
249,no,0,7,no,no,no,no,no,no,no,no
250,no,0,7,no,no,no,no,no,no,no,no
251,no,0,7,no,no,no,no,no,no,no,no
252,no,0,7,no,no,no,no,no,no,no,no
253,no,0,7,no,no,no,no,no,no,no,no
254,no,0,7,no,no,no,no,no,no,no,no
255,no,0,7,no,no,no,no,no,no,no,no
256,no,0,7,no,no,no,no,no,no,no,no
257,no,0,7,no,no,no,no,no,no,no,no
258,no,0,7,no,no,no,no,no,no,no,no
259,no,0,7,no,no,no,no,no,no,no,no
260,no,0,7,no,no,no,no,no,no,no,no
261,no,0,7,no,no,no,no,no,no,no,no
262,no,0,7,no,no,no,no,no,no,no,no
263,no,0,7,no,no,no,no,no,no,no,no
264,no,0,7,no,no,no,no,no,no,no,no
265,no,0,7,no,no,no,no,no,no,no,no
266,no,0,7,no,no,no,no,no,no,no,no
267,no,0,7,no,no,no,no,no,no,no,no
268,no,0,7,no,no,no,no,no,no,no,no
269,no,0,7,no,no,no,no,no,no,no,no
270,no,0,7,no,no,no,no,no,no,no,no
271,no,0,7,no,no,no,no,no,no,no,no
272,no,0,7,no,no,no,no,no,no,no,no
273,no,0,7,no,no,no,no,no,no,no,no
274,no,0,7,no,no,no,no,no,no,no,no
275,no,0,7,no,no,no,no,no,no,no,no
276,no,0,7,no,no,no,no,no,no,no,no
277,no,0,7,no,no,no,no,no,no,no,no
278,no,0,7,no,no,no,no,no,no,no,no
279,no,0,7,no,no,no,no,no,no,no,no
280,no,0,7,no,no,no,no,no,no,no,no
281,no,0,7,no,no,no,no,no,no,no,no
282,no,0,7,no,no,no,no,no,no,no,no
283,no,0,7,no,no,no,no,no,no,no,no
284,no,0,7,no,no,no,no,no,no,no,no
285,no,0,7,no,no,no,no,no,no,no,no
286,no,0,7,no,no,no,no,no,no,no,no
287,no,0,7,no,no,no,no,no,no,no,no
288,no,0,7,no,no,no,no,no,no,no,no
289,no,0,7,no,no,no,no,no,no,no,no
290,yes,6,1,yes,yes,yes,yes,yes,no,yes,yes
291,no,0,7,no,no,no,no,no,no,no,no
292,no,0,7,no,no,no,no,no,no,no,no
293,no,0,7,no,no,no,no,no,no,no,no
294,no,0,7,no,no,no,no,no,no,no,no
295,no,0,7,no,no,no,no,no,no,no,no
296,no,0,7,no,no,no,no,no,no,no,no
297,no,0,7,no,no,no,no,no,no,no,no
298,no,0,7,no,no,no,no,no,no,no,no
299,no,0,7,no,no,no,no,no,no,no,no
300,no,0,7,no,no,no,no,no,no,no,no
301,no,0,7,no,no,no,no,no,no,no,no
302,no,0,7,no,no,no,no,no,no,no,no
303,no,0,7,no,no,no,no,no,no,no,no
304,no,0,7,no,no,no,no,no,no,no,no
305,no,0,7,no,no,no,no,no,no,no,no
306,no,0,7,no,no,no,no,no,no,no,no
307,no,0,7,no,no,no,no,no,no,no,no
308,no,1,6,no,yes,no,no,no,no,no,no
309,no,0,7,no,no,no,no,no,no,no,no
310,no,0,7,no,no,no,no,no,no,no,no
311,no,0,7,no,no,no,no,no,no,no,no
312,no,0,7,no,no,no,no,no,no,no,no
313,no,0,7,no,no,no,no,no,no,no,no
314,no,0,7,no,no,no,no,no,no,no,no
315,no,1,6,no,no,no,no,no,yes,no,no
316,no,0,7,no,no,no,no,no,no,no,no
317,no,0,7,no,no,no,no,no,no,no,no
318,no,0,7,no,no,no,no,no,no,no,no
319,no,0,7,no,no,no,no,no,no,no,no
320,no,0,7,no,no,no,no,no,no,no,no
321,no,0,7,no,no,no,no,no,no,no,no
322,no,0,7,no,no,no,no,no,no,no,no
323,no,0,7,no,no,no,no,no,no,no,no
324,no,0,7,no,no,no,no,no,no,no,no
325,no,0,7,no,no,no,no,no,no,no,no
326,no,0,7,no,no,no,no,no,no,no,no
327,no,0,7,no,no,no,no,no,no,no,no
328,no,0,7,no,no,no,no,no,no,no,no
329,no,0,7,no,no,no,no,no,no,no,no
330,no,0,7,no,no,no,no,no,no,no,no
331,no,0,7,no,no,no,no,no,no,no,no
332,no,0,7,no,no,no,no,no,no,no,no
333,no,0,7,no,no,no,no,no,no,no,no
334,no,0,7,no,no,no,no,no,no,no,no
335,no,0,7,no,no,no,no,no,no,no,no
336,no,0,7,no,no,no,no,no,no,no,no
337,no,0,7,no,no,no,no,no,no,no,no
338,no,0,7,no,no,no,no,no,no,no,no
339,no,0,7,no,no,no,no,no,no,no,no
340,no,0,7,no,no,no,no,no,no,no,no
341,no,0,7,no,no,no,no,no,no,no,no
342,no,0,7,no,no,no,no,no,no,no,no
343,no,0,7,no,no,no,no,no,no,no,no
344,no,0,7,no,no,no,no,no,no,no,no
345,no,0,7,no,no,no,no,no,no,no,no
346,no,0,7,no,no,no,no,no,no,no,no
347,no,0,7,no,no,no,no,no,no,no,no
348,no,0,7,no,no,no,no,no,no,no,no
349,no,0,7,no,no,no,no,no,no,no,no
350,no,0,7,no,no,no,no,no,no,no,no
351,no,0,7,no,no,no,no,no,no,no,no
352,no,0,7,no,no,no,no,no,no,no,no
353,no,0,7,no,no,no,no,no,no,no,no
354,no,0,7,no,no,no,no,no,no,no,no
355,no,0,7,no,no,no,no,no,no,no,no
356,no,0,7,no,no,no,no,no,no,no,no
357,no,0,7,no,no,no,no,no,no,no,no
358,no,0,7,no,no,no,no,no,no,no,no
359,no,1,6,no,no,no,yes,no,no,no,no
360,no,0,7,no,no,no,no,no,no,no,no
361,no,0,7,no,no,no,no,no,no,no,no
362,no,0,7,no,no,no,no,no,no,no,no
363,no,0,7,no,no,no,no,no,no,no,no
364,no,0,7,no,no,no,no,no,no,no,no
365,no,0,7,no,no,no,no,no,no,no,no
366,yes,2,5,no,yes,no,no,no,yes,no,no
367,no,0,7,no,no,no,no,no,no,no,no
368,no,0,7,no,no,no,no,no,no,no,no
369,no,0,7,no,no,no,no,no,no,no,no
370,no,0,7,no,no,no,no,no,no,no,no
371,no,0,7,no,no,no,no,no,no,no,no
372,no,0,7,no,no,no,no,no,no,no,no
373,no,0,7,no,no,no,no,no,no,no,no
374,no,0,7,no,no,no,no,no,no,no,no
375,no,0,7,no,no,no,no,no,no,no,no
376,no,0,7,no,no,no,no,no,no,no,no
377,no,0,7,no,no,no,no,no,no,no,no
378,no,0,7,no,no,no,no,no,no,no,no
379,no,0,7,no,no,no,no,no,no,no,no
380,no,0,7,no,no,no,no,no,no,no,no
381,no,0,7,no,no,no,no,no,no,no,no
382,no,0,7,no,no,no,no,no,no,no,no
383,no,0,7,no,no,no,no,no,no,no,no
384,no,0,7,no,no,no,no,no,no,no,no
385,no,0,7,no,no,no,no,no,no,no,no
386,no,0,7,no,no,no,no,no,no,no,no
387,no,0,7,no,no,no,no,no,no,no,no
388,no,0,7,no,no,no,no,no,no,no,no
389,no,0,7,no,no,no,no,no,no,no,no
390,no,0,7,no,no,no,no,no,no,no,no
391,no,0,7,no,no,no,no,no,no,no,no
392,no,0,7,no,no,no,no,no,no,no,no
393,no,0,7,no,no,no,no,no,no,no,no
394,no,0,7,no,no,no,no,no,no,no,no
395,no,0,7,no,no,no,no,no,no,no,no
396,no,0,7,no,no,no,no,no,no,no,no
397,no,0,7,no,no,no,no,no,no,no,no
398,no,0,7,no,no,no,no,no,no,no,no
399,no,0,7,no,no,no,no,no,no,no,no
400,no,0,7,no,no,no,no,no,no,no,no
401,no,0,7,no,no,no,no,no,no,no,no
402,no,0,7,no,no,no,no,no,no,no,no
403,no,0,7,no,no,no,no,no,no,no,no
404,no,0,7,no,no,no,no,no,no,no,no
405,no,0,7,no,no,no,no,no,no,no,no
406,no,0,7,no,no,no,no,no,no,no,no
407,no,0,7,no,no,no,no,no,no,no,no
408,no,0,7,no,no,no,no,no,no,no,no
409,no,0,7,no,no,no,no,no,no,no,no
410,no,0,7,no,no,no,no,no,no,no,no
411,no,1,6,no,no,no,no,no,yes,no,no
412,no,0,7,no,no,no,no,no,no,no,no
413,no,0,7,no,no,no,no,no,no,no,no
414,no,0,7,no,no,no,no,no,no,no,no
415,no,0,7,no,no,no,no,no,no,no,no
416,no,0,7,no,no,no,no,no,no,no,no
417,no,0,7,no,no,no,no,no,no,no,no
418,no,0,7,no,no,no,no,no,no,no,no
419,no,0,7,no,no,no,no,no,no,no,no
420,no,0,7,no,no,no,no,no,no,no,no
421,no,0,7,no,no,no,no,no,no,no,no
422,no,0,7,no,no,no,no,no,no,no,no
423,no,0,7,no,no,no,no,no,no,no,no
424,no,0,7,no,no,no,no,no,no,no,no
425,no,0,7,no,no,no,no,no,no,no,no
426,no,0,7,no,no,no,no,no,no,no,no
427,no,0,7,no,no,no,no,no,no,no,no
428,no,0,7,no,no,no,no,no,no,no,no
429,no,0,7,no,no,no,no,no,no,no,no
430,no,0,7,no,no,no,no,no,no,no,no
431,no,0,7,no,no,no,no,no,no,no,no
432,no,0,7,no,no,no,no,no,no,no,no
433,no,0,7,no,no,no,no,no,no,no,no
434,no,0,7,no,no,no,no,no,no,no,no
435,no,0,7,no,no,no,no,no,no,no,no
436,no,0,7,no,no,no,no,no,no,no,no
437,yes,0,7,no,no,no,no,no,no,no,no
438,no,0,7,no,no,no,no,no,no,no,no
439,no,0,7,no,no,no,no,no,no,no,no
440,no,0,7,no,no,no,no,no,no,no,no
441,no,0,7,no,no,no,no,no,no,no,no
442,no,0,7,no,no,no,no,no,no,no,no
443,no,0,7,no,no,no,no,no,no,no,no
444,yes,1,6,no,yes,no,no,no,no,no,no
445,no,0,7,no,no,no,no,no,no,no,no
446,no,0,7,no,no,no,no,no,no,no,no
447,no,0,7,no,no,no,no,no,no,no,no
448,no,0,7,no,no,no,no,no,no,no,no
449,no,0,7,no,no,no,no,no,no,no,no
450,no,0,7,no,no,no,no,no,no,no,no
451,no,0,7,no,no,no,no,no,no,no,no
452,no,1,6,no,no,no,no,no,yes,no,no
453,yes,0,7,no,no,no,no,no,no,no,no
454,no,0,7,no,no,no,no,no,no,no,no
455,no,0,7,no,no,no,no,no,no,no,no
456,no,0,7,no,no,no,no,no,no,no,no
457,no,0,7,no,no,no,no,no,no,no,no
458,no,0,7,no,no,no,no,no,no,no,no
459,no,0,7,no,no,no,no,no,no,no,no
460,no,0,7,no,no,no,no,no,no,no,no
461,no,0,7,no,no,no,no,no,no,no,no
462,no,0,7,no,no,no,no,no,no,no,no
463,no,0,7,no,no,no,no,no,no,no,no
464,no,0,7,no,no,no,no,no,no,no,no
465,no,0,7,no,no,no,no,no,no,no,no
466,no,0,7,no,no,no,no,no,no,no,no
467,no,0,7,no,no,no,no,no,no,no,no
468,no,0,7,no,no,no,no,no,no,no,no
469,no,0,7,no,no,no,no,no,no,no,no
470,no,0,7,no,no,no,no,no,no,no,no
471,no,0,7,no,no,no,no,no,no,no,no
472,no,0,7,no,no,no,no,no,no,no,no
473,no,0,7,no,no,no,no,no,no,no,no
474,no,0,7,no,no,no,no,no,no,no,no
475,no,0,7,no,no,no,no,no,no,no,no
476,no,0,7,no,no,no,no,no,no,no,no
477,yes,1,6,no,no,no,no,no,no,yes,no
478,no,0,7,no,no,no,no,no,no,no,no
479,no,0,7,no,no,no,no,no,no,no,no
480,no,0,7,no,no,no,no,no,no,no,no
481,no,0,7,no,no,no,no,no,no,no,no
482,no,0,7,no,no,no,no,no,no,no,no
483,no,0,7,no,no,no,no,no,no,no,no
484,no,0,7,no,no,no,no,no,no,no,no
485,no,0,7,no,no,no,no,no,no,no,no
486,no,0,7,no,no,no,no,no,no,no,no
487,no,0,7,no,no,no,no,no,no,no,no
488,no,0,7,no,no,no,no,no,no,no,no
489,no,0,7,no,no,no,no,no,no,no,no
490,no,0,7,no,no,no,no,no,no,no,no
491,no,0,7,no,no,no,no,no,no,no,no
492,no,0,7,no,no,no,no,no,no,no,no
493,yes,5,2,yes,no,yes,no,yes,yes,yes,yes
494,no,0,7,no,no,no,no,no,no,no,no
495,no,0,7,no,no,no,no,no,no,no,no
496,no,0,7,no,no,no,no,no,no,no,no
497,no,0,7,no,no,no,no,no,no,no,no
498,no,0,7,no,no,no,no,no,no,no,no
499,no,0,7,no,no,no,no,no,no,no,no
500,no,0,7,no,no,no,no,no,no,no,no
501,no,0,7,no,no,no,no,no,no,no,no
502,no,0,7,no,no,no,no,no,no,no,no
503,no,0,7,no,no,no,no,no,no,no,no
504,no,0,7,no,no,no,no,no,no,no,no
505,no,0,7,no,no,no,no,no,no,no,no
506,no,0,7,no,no,no,no,no,no,no,no
507,no,0,7,no,no,no,no,no,no,no,no
508,no,0,7,no,no,no,no,no,no,no,no
509,no,0,7,no,no,no,no,no,no,no,no
510,no,0,7,no,no,no,no,no,no,no,no
511,no,0,7,no,no,no,no,no,no,no,no
512,no,0,7,no,no,no,no,no,no,no,no
513,no,0,7,no,no,no,no,no,no,no,no
514,no,0,7,no,no,no,no,no,no,no,no
515,no,0,7,no,no,no,no,no,no,no,no
516,no,0,7,no,no,no,no,no,no,no,no
517,no,0,7,no,no,no,no,no,no,no,no
518,no,0,7,no,no,no,no,no,no,no,no
519,no,0,7,no,no,no,no,no,no,no,no
520,no,0,7,no,no,no,no,no,no,no,no
521,no,0,7,no,no,no,no,no,no,no,no
522,no,0,7,no,no,no,no,no,no,no,no
523,no,0,7,no,no,no,no,no,no,no,no
524,no,0,7,no,no,no,no,no,no,no,no
525,no,0,7,no,no,no,no,no,no,no,no
526,no,0,7,no,no,no,no,no,no,no,no
527,no,0,7,no,no,no,no,no,no,no,no
528,no,0,7,no,no,no,no,no,no,no,no
529,no,0,7,no,no,no,no,no,no,no,no
530,no,0,7,no,no,no,no,no,no,no,no
531,no,0,7,no,no,no,no,no,no,no,no
532,no,0,7,no,no,no,no,no,no,no,no
533,no,0,7,no,no,no,no,no,no,no,no
534,no,0,7,no,no,no,no,no,no,no,no
535,no,0,7,no,no,no,no,no,no,no,no
536,no,0,7,no,no,no,no,no,no,no,no
537,no,0,7,no,no,no,no,no,no,no,no
538,no,0,7,no,no,no,no,no,no,no,no
539,no,0,7,no,no,no,no,no,no,no,no
540,no,0,7,no,no,no,no,no,no,no,no
541,no,0,7,no,no,no,no,no,no,no,no
542,no,0,7,no,no,no,no,no,no,no,no
543,no,0,7,no,no,no,no,no,no,no,no
544,no,0,7,no,no,no,no,no,no,no,no
545,no,0,7,no,no,no,no,no,no,no,no
546,no,0,7,no,no,no,no,no,no,no,no
547,no,0,7,no,no,no,no,no,no,no,no
548,no,0,7,no,no,no,no,no,no,no,no
549,no,0,7,no,no,no,no,no,no,no,no
550,no,0,7,no,no,no,no,no,no,no,no
551,no,0,7,no,no,no,no,no,no,no,no
552,no,0,7,no,no,no,no,no,no,no,no
553,no,0,7,no,no,no,no,no,no,no,no
554,no,0,7,no,no,no,no,no,no,no,no
555,no,0,7,no,no,no,no,no,no,no,no
556,no,0,7,no,no,no,no,no,no,no,no
557,no,0,7,no,no,no,no,no,no,no,no
558,yes,6,1,yes,yes,yes,no,yes,yes,yes,yes
559,no,0,7,no,no,no,no,no,no,no,no
560,no,0,7,no,no,no,no,no,no,no,no
561,no,0,7,no,no,no,no,no,no,no,no
562,no,0,7,no,no,no,no,no,no,no,no
563,no,0,7,no,no,no,no,no,no,no,no
564,no,0,7,no,no,no,no,no,no,no,no
565,no,0,7,no,no,no,no,no,no,no,no
566,no,0,7,no,no,no,no,no,no,no,no
567,no,0,7,no,no,no,no,no,no,no,no
568,no,0,7,no,no,no,no,no,no,no,no
569,no,0,7,no,no,no,no,no,no,no,no
570,no,0,7,no,no,no,no,no,no,no,no
571,no,0,7,no,no,no,no,no,no,no,no
572,no,0,7,no,no,no,no,no,no,no,no
