,label,yes_vote,no_vote,columba-1.4-src,jfreechart-1.0.19,jEdit-4.2,apache-ant-1.7.0,sql12,jruby-1.4.0,apache-jmeter-2.10,argouml,emf-2.4.1,code_ensemble
65,no,0,9,no,no,no,no,no,no,no,no,no,no
66,no,0,9,no,no,no,no,no,no,no,no,no,no
67,no,0,9,no,no,no,no,no,no,no,no,no,no
68,no,0,9,no,no,no,no,no,no,no,no,no,no
69,no,0,9,no,no,no,no,no,no,no,no,no,no
70,yes,9,0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
71,no,0,9,no,no,no,no,no,no,no,no,no,no
72,no,0,9,no,no,no,no,no,no,no,no,no,no
73,no,0,9,no,no,no,no,no,no,no,no,no,no
74,yes,7,2,yes,yes,yes,no,yes,yes,yes,no,yes,yes
75,yes,9,0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
76,yes,9,0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
77,no,0,9,no,no,no,no,no,no,no,no,no,no
78,yes,9,0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
79,no,0,9,no,no,no,no,no,no,no,no,no,no
80,no,1,8,no,yes,no,no,no,no,no,no,no,no
81,no,0,9,no,no,no,no,no,no,no,no,no,no
82,no,0,9,no,no,no,no,no,no,no,no,no,no
83,no,0,9,no,no,no,no,no,no,no,no,no,no
84,no,0,9,no,no,no,no,no,no,no,no,no,no
85,no,0,9,no,no,no,no,no,no,no,no,no,no
86,no,2,7,no,yes,no,no,no,yes,no,no,no,no
87,yes,9,0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
88,no,0,9,no,no,no,no,no,no,no,no,no,no
89,no,0,9,no,no,no,no,no,no,no,no,no,no
90,no,0,9,no,no,no,no,no,no,no,no,no,no
91,yes,1,8,no,no,yes,no,no,no,no,no,no,no
92,yes,8,1,yes,yes,no,yes,yes,yes,yes,yes,yes,yes
93,no,0,9,no,no,no,no,no,no,no,no,no,no
94,no,0,9,no,no,no,no,no,no,no,no,no,no
95,no,0,9,no,no,no,no,no,no,no,no,no,no
96,no,0,9,no,no,no,no,no,no,no,no,no,no
97,no,0,9,no,no,no,no,no,no,no,no,no,no
98,no,0,9,no,no,no,no,no,no,no,no,no,no
99,no,0,9,no,no,no,no,no,no,no,no,no,no
100,yes,8,1,yes,yes,yes,no,yes,yes,yes,yes,yes,yes
101,yes,9,0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
102,no,0,9,no,no,no,no,no,no,no,no,no,no
103,no,0,9,no,no,no,no,no,no,no,no,no,no
104,no,1,8,no,yes,no,no,no,no,no,no,no,no
105,no,1,8,no,no,yes,no,no,no,no,no,no,no
106,yes,8,1,yes,yes,no,yes,yes,yes,yes,yes,yes,yes
107,no,1,8,no,no,yes,no,no,no,no,no,no,no
108,yes,9,0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
109,no,0,9,no,no,no,no,no,no,no,no,no,no
110,yes,9,0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
111,no,1,8,yes,no,no,no,no,no,no,no,no,no
112,no,0,9,no,no,no,no,no,no,no,no,no,no
113,no,0,9,no,no,no,no,no,no,no,no,no,no
114,yes,9,0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
115,no,0,9,no,no,no,no,no,no,no,no,no,no
116,no,0,9,no,no,no,no,no,no,no,no,no,no
117,no,0,9,no,no,no,no,no,no,no,no,no,no
118,no,0,9,no,no,no,no,no,no,no,no,no,no
119,no,0,9,no,no,no,no,no,no,no,no,no,no
120,no,0,9,no,no,no,no,no,no,no,no,no,no
121,no,0,9,no,no,no,no,no,no,no,no,no,no
122,no,0,9,no,no,no,no,no,no,no,no,no,no
123,no,1,8,no,no,yes,no,no,no,no,no,no,no
124,no,0,9,no,no,no,no,no,no,no,no,no,no
125,no,0,9,no,no,no,no,no,no,no,no,no,no
126,yes,9,0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
127,no,0,9,no,no,no,no,no,no,no,no,no,no
128,no,0,9,no,no,no,no,no,no,no,no,no,no
129,no,0,9,no,no,no,no,no,no,no,no,no,no
130,no,0,9,no,no,no,no,no,no,no,no,no,no
131,no,4,5,no,yes,yes,yes,no,yes,no,no,no,no
132,no,0,9,no,no,no,no,no,no,no,no,no,no
133,no,3,6,no,yes,no,no,yes,no,yes,no,no,no
134,no,0,9,no,no,no,no,no,no,no,no,no,no
135,no,0,9,no,no,no,no,no,no,no,no,no,no
136,no,0,9,no,no,no,no,no,no,no,no,no,no
137,no,0,9,no,no,no,no,no,no,no,no,no,no
138,no,1,8,no,no,no,no,no,no,no,yes,no,no
139,no,0,9,no,no,no,no,no,no,no,no,no,no
140,no,0,9,no,no,no,no,no,no,no,no,no,no
141,no,0,9,no,no,no,no,no,no,no,no,no,no
142,no,0,9,no,no,no,no,no,no,no,no,no,no
143,no,1,8,no,no,yes,no,no,no,no,no,no,no
144,no,1,8,no,no,no,no,no,no,yes,no,no,no
145,yes,1,8,no,no,yes,no,no,no,no,no,no,no
146,no,0,9,no,no,no,no,no,no,no,no,no,no
147,no,0,9,no,no,no,no,no,no,no,no,no,no
148,no,0,9,no,no,no,no,no,no,no,no,no,no
149,no,0,9,no,no,no,no,no,no,no,no,no,no
150,no,0,9,no,no,no,no,no,no,no,no,no,no
151,no,0,9,no,no,no,no,no,no,no,no,no,no
152,yes,9,0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
153,no,0,9,no,no,no,no,no,no,no,no,no,no
154,no,0,9,no,no,no,no,no,no,no,no,no,no
155,yes,7,2,yes,no,yes,yes,yes,yes,yes,yes,no,yes
156,no,0,9,no,no,no,no,no,no,no,no,no,no
157,no,0,9,no,no,no,no,no,no,no,no,no,no
158,yes,8,1,yes,yes,yes,no,yes,yes,yes,yes,yes,yes
159,no,0,9,no,no,no,no,no,no,no,no,no,no
160,no,1,8,no,no,no,yes,no,no,no,no,no,no
161,no,1,8,no,no,no,no,no,no,no,no,yes,no
162,yes,0,9,no,no,no,no,no,no,no,no,no,no
163,no,0,9,no,no,no,no,no,no,no,no,no,no
164,no,0,9,no,no,no,no,no,no,no,no,no,no
165,no,0,9,no,no,no,no,no,no,no,no,no,no
166,no,0,9,no,no,no,no,no,no,no,no,no,no
167,no,0,9,no,no,no,no,no,no,no,no,no,no
168,no,0,9,no,no,no,no,no,no,no,no,no,no
169,no,0,9,no,no,no,no,no,no,no,no,no,no
170,no,0,9,no,no,no,no,no,no,no,no,no,no
171,no,0,9,no,no,no,no,no,no,no,no,no,no
172,no,0,9,no,no,no,no,no,no,no,no,no,no
173,no,0,9,no,no,no,no,no,no,no,no,no,no
174,no,1,8,no,no,yes,no,no,no,no,no,no,no
175,no,0,9,no,no,no,no,no,no,no,no,no,no
176,no,0,9,no,no,no,no,no,no,no,no,no,no
177,no,0,9,no,no,no,no,no,no,no,no,no,no
178,no,0,9,no,no,no,no,no,no,no,no,no,no
179,yes,0,9,no,no,no,no,no,no,no,no,no,no
180,yes,7,2,yes,yes,no,no,yes,yes,yes,yes,yes,yes
181,no,0,9,no,no,no,no,no,no,no,no,no,no
182,no,0,9,no,no,no,no,no,no,no,no,no,no
183,no,0,9,no,no,no,no,no,no,no,no,no,no
184,yes,8,1,yes,yes,no,yes,yes,yes,yes,yes,yes,yes
185,no,0,9,no,no,no,no,no,no,no,no,no,no
186,no,1,8,no,yes,no,no,no,no,no,no,no,no
187,no,0,9,no,no,no,no,no,no,no,no,no,no
188,no,0,9,no,no,no,no,no,no,no,no,no,no
189,no,0,9,no,no,no,no,no,no,no,no,no,no
190,yes,9,0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
191,no,0,9,no,no,no,no,no,no,no,no,no,no
192,no,0,9,no,no,no,no,no,no,no,no,no,no
193,no,1,8,no,no,no,no,no,no,yes,no,no,no
194,no,0,9,no,no,no,no,no,no,no,no,no,no
195,no,0,9,no,no,no,no,no,no,no,no,no,no
196,no,0,9,no,no,no,no,no,no,no,no,no,no
197,yes,2,7,no,yes,yes,no,no,no,no,no,no,no
198,no,0,9,no,no,no,no,no,no,no,no,no,no
199,no,0,9,no,no,no,no,no,no,no,no,no,no
200,no,0,9,no,no,no,no,no,no,no,no,no,no
201,no,0,9,no,no,no,no,no,no,no,no,no,no
202,yes,2,7,yes,no,no,no,no,no,no,yes,no,no
203,no,0,9,no,no,no,no,no,no,no,no,no,no
204,no,0,9,no,no,no,no,no,no,no,no,no,no
205,no,1,8,no,no,no,no,no,no,no,yes,no,no
206,no,0,9,no,no,no,no,no,no,no,no,no,no
207,no,0,9,no,no,no,no,no,no,no,no,no,no
208,no,0,9,no,no,no,no,no,no,no,no,no,no
209,no,0,9,no,no,no,no,no,no,no,no,no,no
210,yes,8,1,yes,yes,no,yes,yes,yes,yes,yes,yes,yes
211,yes,8,1,yes,yes,yes,no,yes,yes,yes,yes,yes,yes
212,no,0,9,no,no,no,no,no,no,no,no,no,no
213,no,0,9,no,no,no,no,no,no,no,no,no,no
214,no,0,9,no,no,no,no,no,no,no,no,no,no
215,no,0,9,no,no,no,no,no,no,no,no,no,no
216,yes,8,1,yes,yes,yes,yes,yes,yes,no,yes,yes,yes
217,no,0,9,no,no,no,no,no,no,no,no,no,no
218,no,0,9,no,no,no,no,no,no,no,no,no,no
219,no,0,9,no,no,no,no,no,no,no,no,no,no
220,no,0,9,no,no,no,no,no,no,no,no,no,no
221,no,1,8,no,no,yes,no,no,no,no,no,no,no
222,no,0,9,no,no,no,no,no,no,no,no,no,no
223,no,0,9,no,no,no,no,no,no,no,no,no,no
224,no,0,9,no,no,no,no,no,no,no,no,no,no
225,no,0,9,no,no,no,no,no,no,no,no,no,no
226,no,0,9,no,no,no,no,no,no,no,no,no,no
227,no,0,9,no,no,no,no,no,no,no,no,no,no
228,yes,9,0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
229,no,0,9,no,no,no,no,no,no,no,no,no,no
230,yes,1,8,no,no,no,no,no,no,yes,no,no,no
231,no,0,9,no,no,no,no,no,no,no,no,no,no
232,no,0,9,no,no,no,no,no,no,no,no,no,no
233,no,0,9,no,no,no,no,no,no,no,no,no,no
234,no,1,8,no,no,no,no,no,no,yes,no,no,no
235,no,0,9,no,no,no,no,no,no,no,no,no,no
236,no,1,8,no,no,no,yes,no,no,no,no,no,no
237,yes,9,0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
238,no,0,9,no,no,no,no,no,no,no,no,no,no
239,no,0,9,no,no,no,no,no,no,no,no,no,no
240,no,0,9,no,no,no,no,no,no,no,no,no,no
241,no,0,9,no,no,no,no,no,no,no,no,no,no
242,no,0,9,no,no,no,no,no,no,no,no,no,no
243,no,0,9,no,no,no,no,no,no,no,no,no,no
244,no,0,9,no,no,no,no,no,no,no,no,no,no
245,no,0,9,no,no,no,no,no,no,no,no,no,no
246,no,0,9,no,no,no,no,no,no,no,no,no,no
247,no,0,9,no,no,no,no,no,no,no,no,no,no
248,no,0,9,no,no,no,no,no,no,no,no,no,no
249,no,0,9,no,no,no,no,no,no,no,no,no,no
250,no,0,9,no,no,no,no,no,no,no,no,no,no
251,yes,7,2,yes,yes,no,yes,yes,yes,yes,no,yes,yes
252,no,0,9,no,no,no,no,no,no,no,no,no,no
253,yes,0,9,no,no,no,no,no,no,no,no,no,no
254,no,0,9,no,no,no,no,no,no,no,no,no,no
255,no,0,9,no,no,no,no,no,no,no,no,no,no
256,no,0,9,no,no,no,no,no,no,no,no,no,no
257,yes,0,9,no,no,no,no,no,no,no,no,no,no
258,no,0,9,no,no,no,no,no,no,no,no,no,no
259,no,8,1,yes,yes,yes,yes,yes,yes,no,yes,yes,yes
260,no,0,9,no,no,no,no,no,no,no,no,no,no
261,yes,9,0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
262,yes,9,0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
263,no,0,9,no,no,no,no,no,no,no,no,no,no
264,no,0,9,no,no,no,no,no,no,no,no,no,no
265,no,1,8,no,no,no,no,no,no,no,yes,no,no
266,no,0,9,no,no,no,no,no,no,no,no,no,no
267,no,0,9,no,no,no,no,no,no,no,no,no,no
268,no,0,9,no,no,no,no,no,no,no,no,no,no
269,no,0,9,no,no,no,no,no,no,no,no,no,no
270,no,0,9,no,no,no,no,no,no,no,no,no,no
271,no,0,9,no,no,no,no,no,no,no,no,no,no
272,no,3,6,no,yes,no,no,yes,no,yes,no,no,no
273,no,1,8,no,no,no,no,no,no,no,no,yes,no
274,no,1,8,no,no,yes,no,no,no,no,no,no,no
275,no,0,9,no,no,no,no,no,no,no,no,no,no
276,no,0,9,no,no,no,no,no,no,no,no,no,no
277,yes,7,2,yes,yes,no,yes,yes,yes,yes,no,yes,yes
278,no,0,9,no,no,no,no,no,no,no,no,no,no
279,no,0,9,no,no,no,no,no,no,no,no,no,no
280,no,0,9,no,no,no,no,no,no,no,no,no,no
281,yes,1,8,no,no,yes,no,no,no,no,no,no,no
282,yes,9,0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
283,no,0,9,no,no,no,no,no,no,no,no,no,no
284,no,0,9,no,no,no,no,no,no,no,no,no,no
285,no,1,8,no,yes,no,no,no,no,no,no,no,no
286,no,0,9,no,no,no,no,no,no,no,no,no,no
287,no,0,9,no,no,no,no,no,no,no,no,no,no
288,no,4,5,no,yes,yes,yes,no,yes,no,no,no,no
289,no,0,9,no,no,no,no,no,no,no,no,no,no
290,no,0,9,no,no,no,no,no,no,no,no,no,no
291,no,0,9,no,no,no,no,no,no,no,no,no,no
292,no,0,9,no,no,no,no,no,no,no,no,no,no
293,no,0,9,no,no,no,no,no,no,no,no,no,no
294,no,0,9,no,no,no,no,no,no,no,no,no,no
295,no,0,9,no,no,no,no,no,no,no,no,no,no
296,no,0,9,no,no,no,no,no,no,no,no,no,no
297,no,0,9,no,no,no,no,no,no,no,no,no,no
298,no,0,9,no,no,no,no,no,no,no,no,no,no
299,no,0,9,no,no,no,no,no,no,no,no,no,no
300,no,0,9,no,no,no,no,no,no,no,no,no,no
301,no,0,9,no,no,no,no,no,no,no,no,no,no
302,no,0,9,no,no,no,no,no,no,no,no,no,no
303,no,0,9,no,no,no,no,no,no,no,no,no,no
304,yes,9,0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
305,no,0,9,no,no,no,no,no,no,no,no,no,no
306,no,0,9,no,no,no,no,no,no,no,no,no,no
307,no,1,8,no,no,yes,no,no,no,no,no,no,no
308,no,0,9,no,no,no,no,no,no,no,no,no,no
309,no,0,9,no,no,no,no,no,no,no,no,no,no
310,yes,9,0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
311,no,0,9,no,no,no,no,no,no,no,no,no,no
312,no,0,9,no,no,no,no,no,no,no,no,no,no
313,no,0,9,no,no,no,no,no,no,no,no,no,no
314,no,0,9,no,no,no,no,no,no,no,no,no,no
315,yes,8,1,yes,yes,yes,yes,yes,yes,yes,no,yes,yes
316,no,0,9,no,no,no,no,no,no,no,no,no,no
317,no,0,9,no,no,no,no,no,no,no,no,no,no
318,no,0,9,no,no,no,no,no,no,no,no,no,no
319,no,0,9,no,no,no,no,no,no,no,no,no,no
320,yes,6,3,yes,no,yes,no,yes,yes,yes,yes,no,yes
321,no,0,9,no,no,no,no,no,no,no,no,no,no
322,no,0,9,no,no,no,no,no,no,no,no,no,no
323,no,0,9,no,no,no,no,no,no,no,no,no,no
324,no,1,8,no,no,yes,no,no,no,no,no,no,no
325,yes,8,1,yes,yes,yes,no,yes,yes,yes,yes,yes,yes
326,no,0,9,no,no,no,no,no,no,no,no,no,no
327,no,0,9,no,no,no,no,no,no,no,no,no,no
328,yes,0,9,no,no,no,no,no,no,no,no,no,no
329,no,0,9,no,no,no,no,no,no,no,no,no,no
330,yes,0,9,no,no,no,no,no,no,no,no,no,no
331,no,0,9,no,no,no,no,no,no,no,no,no,no
332,no,0,9,no,no,no,no,no,no,no,no,no,no
333,no,0,9,no,no,no,no,no,no,no,no,no,no
334,no,0,9,no,no,no,no,no,no,no,no,no,no
335,no,0,9,no,no,no,no,no,no,no,no,no,no
336,yes,9,0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
337,no,0,9,no,no,no,no,no,no,no,no,no,no
338,no,0,9,no,no,no,no,no,no,no,no,no,no
339,no,0,9,no,no,no,no,no,no,no,no,no,no
340,no,0,9,no,no,no,no,no,no,no,no,no,no
341,no,0,9,no,no,no,no,no,no,no,no,no,no
342,no,0,9,no,no,no,no,no,no,no,no,no,no
343,no,0,9,no,no,no,no,no,no,no,no,no,no
344,no,0,9,no,no,no,no,no,no,no,no,no,no
345,no,0,9,no,no,no,no,no,no,no,no,no,no
346,no,0,9,no,no,no,no,no,no,no,no,no,no
347,no,0,9,no,no,no,no,no,no,no,no,no,no
348,no,1,8,no,no,no,no,no,no,no,no,yes,no
349,yes,1,8,no,no,no,yes,no,no,no,no,no,no
350,no,0,9,no,no,no,no,no,no,no,no,no,no
351,no,0,9,no,no,no,no,no,no,no,no,no,no
352,no,0,9,no,no,no,no,no,no,no,no,no,no
353,no,1,8,no,no,yes,no,no,no,no,no,no,no
354,no,0,9,no,no,no,no,no,no,no,no,no,no
355,no,0,9,no,no,no,no,no,no,no,no,no,no
356,no,0,9,no,no,no,no,no,no,no,no,no,no
357,yes,7,2,yes,yes,yes,yes,no,yes,yes,yes,no,yes
358,no,0,9,no,no,no,no,no,no,no,no,no,no
359,no,0,9,no,no,no,no,no,no,no,no,no,no
360,no,0,9,no,no,no,no,no,no,no,no,no,no
361,no,0,9,no,no,no,no,no,no,no,no,no,no
362,no,0,9,no,no,no,no,no,no,no,no,no,no
363,yes,8,1,yes,yes,yes,no,yes,yes,yes,yes,yes,yes
364,no,1,8,no,yes,no,no,no,no,no,no,no,no
365,no,1,8,no,no,yes,no,no,no,no,no,no,no
366,no,0,9,no,no,no,no,no,no,no,no,no,no
367,no,0,9,no,no,no,no,no,no,no,no,no,no
368,yes,7,2,yes,yes,yes,no,yes,no,yes,yes,yes,yes
369,no,0,9,no,no,no,no,no,no,no,no,no,no
370,no,0,9,no,no,no,no,no,no,no,no,no,no
371,no,0,9,no,no,no,no,no,no,no,no,no,no
372,no,0,9,no,no,no,no,no,no,no,no,no,no
373,no,0,9,no,no,no,no,no,no,no,no,no,no
374,yes,0,9,no,no,no,no,no,no,no,no,no,no
375,yes,8,1,yes,no,yes,yes,yes,yes,yes,yes,yes,yes
376,no,0,9,no,no,no,no,no,no,no,no,no,no
377,yes,1,8,no,no,yes,no,no,no,no,no,no,no
378,no,0,9,no,no,no,no,no,no,no,no,no,no
379,yes,0,9,no,no,no,no,no,no,no,no,no,no
380,no,0,9,no,no,no,no,no,no,no,no,no,no
381,no,0,9,no,no,no,no,no,no,no,no,no,no
382,no,0,9,no,no,no,no,no,no,no,no,no,no
383,yes,9,0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
384,no,0,9,no,no,no,no,no,no,no,no,no,no
385,no,0,9,no,no,no,no,no,no,no,no,no,no
386,no,0,9,no,no,no,no,no,no,no,no,no,no
387,no,0,9,no,no,no,no,no,no,no,no,no,no
388,yes,8,1,yes,yes,no,yes,yes,yes,yes,yes,yes,yes
389,no,0,9,no,no,no,no,no,no,no,no,no,no
390,no,0,9,no,no,no,no,no,no,no,no,no,no
391,no,0,9,no,no,no,no,no,no,no,no,no,no
392,no,0,9,no,no,no,no,no,no,no,no,no,no
393,no,0,9,no,no,no,no,no,no,no,no,no,no
394,no,0,9,no,no,no,no,no,no,no,no,no,no
395,no,0,9,no,no,no,no,no,no,no,no,no,no
396,no,0,9,no,no,no,no,no,no,no,no,no,no
397,no,0,9,no,no,no,no,no,no,no,no,no,no
398,no,0,9,no,no,no,no,no,no,no,no,no,no
399,no,0,9,no,no,no,no,no,no,no,no,no,no
400,no,0,9,no,no,no,no,no,no,no,no,no,no
401,no,2,7,no,no,yes,no,no,no,no,yes,no,no
402,no,0,9,no,no,no,no,no,no,no,no,no,no
403,no,0,9,no,no,no,no,no,no,no,no,no,no
404,yes,8,1,yes,yes,no,yes,yes,yes,yes,yes,yes,yes
405,no,1,8,no,yes,no,no,no,no,no,no,no,no
406,no,0,9,no,no,no,no,no,no,no,no,no,no
407,no,0,9,no,no,no,no,no,no,no,no,no,no
408,no,0,9,no,no,no,no,no,no,no,no,no,no
409,no,0,9,no,no,no,no,no,no,no,no,no,no
410,no,0,9,no,no,no,no,no,no,no,no,no,no
411,no,0,9,no,no,no,no,no,no,no,no,no,no
412,no,1,8,no,no,yes,no,no,no,no,no,no,no
413,no,0,9,no,no,no,no,no,no,no,no,no,no
414,no,0,9,no,no,no,no,no,no,no,no,no,no
415,no,0,9,no,no,no,no,no,no,no,no,no,no
416,no,0,9,no,no,no,no,no,no,no,no,no,no
417,no,0,9,no,no,no,no,no,no,no,no,no,no
418,yes,8,1,yes,yes,yes,yes,yes,yes,yes,no,yes,yes
419,no,0,9,no,no,no,no,no,no,no,no,no,no
420,no,0,9,no,no,no,no,no,no,no,no,no,no
421,no,0,9,no,no,no,no,no,no,no,no,no,no
422,no,0,9,no,no,no,no,no,no,no,no,no,no
423,no,0,9,no,no,no,no,no,no,no,no,no,no
424,no,0,9,no,no,no,no,no,no,no,no,no,no
425,no,0,9,no,no,no,no,no,no,no,no,no,no
426,yes,7,2,yes,yes,no,yes,yes,yes,yes,no,yes,yes
427,no,0,9,no,no,no,no,no,no,no,no,no,no
428,no,0,9,no,no,no,no,no,no,no,no,no,no
429,no,0,9,no,no,no,no,no,no,no,no,no,no
430,no,0,9,no,no,no,no,no,no,no,no,no,no
431,no,0,9,no,no,no,no,no,no,no,no,no,no
432,yes,8,1,yes,yes,yes,no,yes,yes,yes,yes,yes,yes
433,no,0,9,no,no,no,no,no,no,no,no,no,no
434,no,0,9,no,no,no,no,no,no,no,no,no,no
435,no,3,6,no,yes,no,no,yes,no,yes,no,no,no
436,no,0,9,no,no,no,no,no,no,no,no,no,no
437,no,0,9,no,no,no,no,no,no,no,no,no,no
438,no,0,9,no,no,no,no,no,no,no,no,no,no
439,no,0,9,no,no,no,no,no,no,no,no,no,no
440,no,0,9,no,no,no,no,no,no,no,no,no,no
441,yes,7,2,yes,yes,no,yes,yes,yes,yes,no,yes,yes
442,yes,8,1,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
443,no,0,9,no,no,no,no,no,no,no,no,no,no
444,yes,0,9,no,no,no,no,no,no,no,no,no,no
445,no,0,9,no,no,no,no,no,no,no,no,no,no
446,no,0,9,no,no,no,no,no,no,no,no,no,no
447,no,0,9,no,no,no,no,no,no,no,no,no,no
448,no,0,9,no,no,no,no,no,no,no,no,no,no
449,no,0,9,no,no,no,no,no,no,no,no,no,no
450,no,0,9,no,no,no,no,no,no,no,no,no,no
451,no,0,9,no,no,no,no,no,no,no,no,no,no
452,no,0,9,no,no,no,no,no,no,no,no,no,no
453,no,0,9,no,no,no,no,no,no,no,no,no,no
454,no,1,8,no,no,no,no,yes,no,no,no,no,no
455,no,0,9,no,no,no,no,no,no,no,no,no,no
456,no,1,8,no,no,no,no,no,yes,no,no,no,no
457,no,0,9,no,no,no,no,no,no,no,no,no,no
458,no,1,8,no,no,no,no,yes,no,no,no,no,no
459,yes,1,8,no,no,yes,no,no,no,no,no,no,no
460,no,0,9,no,no,no,no,no,no,no,no,no,no
461,no,0,9,no,no,no,no,no,no,no,no,no,no
462,no,1,8,no,no,no,no,no,no,no,yes,no,no
463,no,1,8,no,no,yes,no,no,no,no,no,no,no
464,no,0,9,no,no,no,no,no,no,no,no,no,no
465,no,0,9,no,no,no,no,no,no,no,no,no,no
466,no,0,9,no,no,no,no,no,no,no,no,no,no
467,no,0,9,no,no,no,no,no,no,no,no,no,no
